Count	word
544	roll
529	salad
509	cheese
504	pork
469	shrimp
456	beef
435	rice
428	egg
422	salmon
422	chocolate
403	cake
403	sandwich
398	cream
397	burger
396	pizza
384	taco
379	fried
379	deliciou
356	steak
335	lobster
333	crab
332	bread
324	sushi
322	rib
320	potato
310	bacon
304	soup
293	strawberry
292	fish
290	breakfast
285	dessert
276	waffle
256	tuna
243	spicy
237	bbq
236	ice
227	french
223	fry
221	avocado
218	toast
